time,code,class
50.55,q,1
56.7,q,1
63.828,w,1
65.905,q,1
67.981,w,1
68.986,q,1
89.504,w,1
90.543,q,1
97.705,w,1
99.75,q,1
116.141,w,1
123.349,q,1
144.024,w,1
149.148,q,1
165.543,w,1
169.625,q,1
172.667,w,1
177.742,q,1
180.828,w,1
192.026,q,1
203.301,w,1
215.544,o,1
220.626,w,1
224.708,q,1
252.341,w,1
256.425,q,1
297.263,w,1
310.422,q,1
313.509,p,1
315.581,o,1
319.66,w,1
320.663,q,1
324.741,w,1
330.905,q,1
357.509,w,1
365.748,q,1
496.788,w,1
501.862,q,1
531.661,w,1
539.942,q,1
558.381,w,1
566.501,o,1
567.503,p,1
571.546,o,1
573.583,p,1
576.626,q,1
586.823,p,1
611.348,q,1
613.39,w,1
620.586,q,1
623.662,w,1
626.741,q,1
637.061,w,1
645.306,q,1
657.662,w,1
659.744,q,1
680.646,END,0
