time,code,class
16.064,w,1
41.141,q,1
57.868,w,1
82.185,q,1
86.744,w,1
89.025,q,1
94.345,w,1
102.703,q,1
105.743,w,1
119.42,q,1
125.757,w,1
135.104,q,1
136.146,w,1
146.424,q,1
152.548,w,1
158.701,q,1
163.863,w,1
166.985,q,1
173.5,w,1
184.985,q,1
196.23,w,1
206.423,q,1
209.464,p,1
217.15,o,1
220.189,w,1
232.5,q,1
240.701,w,1
242.747,q,1
244.823,w,1
257.581,q,1
263.663,w,1
289.665,q,1
299.905,w,1
313.223,o,1
316.264,p,1
321.382,o,1
326.515,p,1
331.62,w,1
339.825,o,1
345.029,p,1
351.201,o,1
359.351,w,1
363.46,q,1
371.628,w,1
374.701,q,1
545.029,p,1
546.06,o,1
551.185,w,1
561.382,q,1
564.465,o,1
573.706,w,1
580.825,q,1
589.069,p,1
595.264,o,1
597.3,p,1
602.425,q,1
604.5,w,1
611.661,o,1
612.661,p,1
614.751,q,1
616.826,p,1
619.951,o,1
626.07,p,1
630.731,q,1
633.191,w,1
636.853,END,0
