time,code,class
37.506,w,1
44.349,q,1
58.022,w,1
61.82,q,1
75.505,w,1
77.023,q,1
86.143,w,1
89.947,q,1
92.223,w,1
92.983,q,1
108.226,w,1
115.828,q,1
118.102,w,1
119.623,q,1
123.426,w,1
124.184,q,1
139.421,w,1
142.466,q,1
151.581,w,1
153.862,q,1
156.901,w,1
168.303,q,1
188.063,w,1
189.587,q,1
206.308,w,1
213.902,q,1
220.741,w,1
222.269,q,1
224.544,w,1
229.101,q,1
238.228,w,1
242.029,q,1
242.783,w,1
246.588,q,1
262.541,w,1
263.301,q,1
276.222,w,1
278.5,q,1
280.025,p,1
283.069,o,1
284.587,q,1
295.984,w,1
297.5,q,1
304.346,w,1
310.461,q,1
317.3,w,1
319.589,q,1
322.623,p,1
326.429,o,1
327.941,w,1
331.74,p,1
333.262,o,1
335.552,q,1
338.62,o,1
340.903,q,1
343.183,w,1
345.461,q,1
351.543,w,1
357.625,q,1
362.18,p,1
366.741,q,1
394.189,w,1
396.465,o,1
398.748,w,1
405.582,o,1
408.62,p,1
413.948,q,1
434.505,w,1
441.341,o,1
442.863,p,1
446.66,q,1
455.781,p,1
472.501,q,1
481.622,w,1
482.381,q,1
489.225,w,1
490.742,q,1
505.188,w,1
508.981,q,1
517.341,p,1
521.184,q,1
572.908,w,1
574.421,p,1
576.705,q,1
582.783,p,1
585.823,o,1
589.629,w,1
591.902,o,1
593.422,p,1
604.826,q,1
607.107,o,1
610.9,p,1
614.705,q,1
657.303,p,1
670.983,q,1
675.54,p,1
685.466,q,1
691.108,p,1
692.962,q,1
700.347,END,0
