time,code,class
38.465,w,1
44.543,p,1
46.826,o,1
55.181,w,1
84.11,q,1
87.142,w,1
89.421,q,1
91.701,w,1
110.741,o,1
112.266,q,1
116.061,w,1
125.223,o,1
126.75,q,1
129.024,p,1
133.58,o,1
135.861,w,1
141.226,q,1
142.744,w,1
145.781,q,1
154.149,p,1
159.5,o,1
160.267,w,1
164.828,q,1
168.624,w,1
181.549,o,1
183.061,p,1
192.182,q,1
203.586,p,1
205.101,q,1
206.622,p,1
217.263,w,1
224.1,q,1
238.544,p,1
240.824,q,1
253.741,p,1
262.102,q,1
275.788,p,1
289.463,o,1
290.983,w,1
301.628,q,1
314.59,w,1
319.185,o,1
321.462,p,1
323.742,o,1
327.541,w,1
330.581,o,1
332.861,p,1
334.383,o,1
336.666,w,1
344.26,q,1
354.5,w,1
358.3,q,1
365.145,p,1
381.862,o,1
384.14,w,1
386.423,o,1
388.702,p,1
403.143,q,1
405.426,w,1
407.701,q,1
413.79,p,1
418.346,o,1
420.623,q,1
423.66,w,1
425.182,q,1
426.702,p,1
435.94,o,1
438.981,q,1
442.78,w,1
445.825,o,1
449.627,q,1
449.627,w,1
460.35,q,1
495.38,p,1
512.104,o,1
515.142,w,1
517.42,o,1
518.941,p,1
520.461,w,1
523.5,o,1
525.023,w,1
541.78,q,1
544.062,w,1
548.625,o,1
549.381,p,1
551.665,o,1
553.947,w,1
563.14,q,1
566.943,w,1
568.461,o,1
572.261,p,1
596.622,o,1
598.144,w,1
603.47,q,1
605.781,w,1
609.585,o,1
613.389,p,1
614.9,o,1
617.18,w,1
625.544,q,1
629.349,w,1
633.907,q,1
651.461,p,1
659.87,q,1
673.59,p,1
678.505,q,1
687.7,END,0
