time,code,class
29.3,w,1
34.621,p,1
41.463,o,1
43.069,p,1
43.827,w,1
49.187,q,1
56.79,w,1
57.58,q,1
61.382,w,1
66.708,o,1
68.223,w,1
74.302,q,1
77.34,w,1
78.862,q,1
84.18,p,1
88.747,w,1
101.7,q,1
104.748,p,1
107.022,q,1
112.349,w,1
125.265,p,1
130.581,o,1
132.863,q,1
134.381,w,1
135.904,q,1
191.421,w,1
195.99,q,1
199.021,w,1
221.065,o,1
223.34,w,1
227.902,q,1
261.349,w,1
272.741,q,1
278.061,p,1
298.589,q,1
301.621,w,1
303.149,q,1
306.942,w,1
309.268,q,1
314.583,w,1
327.5,q,1
351.062,p,1
358.67,o,1
360.182,p,1
366.26,q,1
369.3,w,1
395.143,q,1
401.22,w,1
403.502,q,1
409.58,p,1
411.86,q,1
415.666,p,1
427.069,q,1
428.589,p,1
433.902,q,1
447.582,w,1
459.747,q,1
469.621,w,1
481.786,q,1
486.35,w,1
489.381,q,1
491.66,w,1
493.183,o,1
493.95,p,1
512.18,o,1
514.465,q,1
516.741,p,1
519.785,q,1
522.829,w,1
526.62,q,1
541.826,p,1
558.541,q,1
566.906,w,1
585.188,p,1
593.544,o,1
599.624,p,1
608.744,o,1
611.781,q,1
613.301,w,1
614.827,q,1
617.1,w,1
623.186,q,1
630.03,p,1
633.826,q,1
641.423,p,1
642.949,q,1
664.601,END,0
