time,code,class
18.58,p,1
23.901,q,1
26.189,p,1
34.749,o,1
38.545,w,1
46.141,q,1
63.63,p,1
65.142,q,1
73.502,p,1
79.625,q,1
90.266,p,1
91.784,q,1
100.142,p,1
108.1,q,1
118.745,p,1
120.261,q,1
175.462,p,1
186.866,q,1
199.024,p,1
203.583,q,1
212.701,p,1
214.229,q,1
224.108,p,1
225.629,q,1
234.744,p,1
243.862,q,1
246.909,p,1
251.466,q,1
305.702,w,1
307.221,q,1
314.822,p,1
322.424,q,1
324.704,p,1
347.509,q,1
349.781,w,1
354.343,q,1
355.869,p,1
364.98,q,1
372.904,p,1
385.062,q,1
399.509,p,1
407.183,q,1
420.115,p,1
438.66,q,1
450.1,p,1
452.382,q,1
463.78,p,1
473.142,q,1
484.541,p,1
491.38,q,1
502.781,p,1
508.861,q,1
521.829,p,1
553.183,q,1
566.869,p,1
575.502,q,1
589.19,p,1
589.941,q,1
602.108,p,1
604.38,q,1
677.46,END,0
