time,code,class
43.52, w,1
59.481,q,1
79.08, w,1
92.24,q,1
94.2, w,1
101.201,q,1
119.12, w,1
124.721,q,1
131.441, w,1
133.961,q,1
143.201, w,1
156.921, o,1
158.6, w,1
160.56,q,1
173.721, w,1
183.24,q,1
196.161, w,1
215.203,q,1
220.521, w,1
235.64, p,1
239.56, o,1
244.04, p,1
246.841,q,1
256.92, w,1
258.88,q,1
275.681, w,1
277.64,q,1
279.041, o,1
282.681, w,1
283.8,q,1
297.8, w,1
302.84,q,1
438.763, w,1
447.16,q,1
453.88, w,1
464.24,q,1
469.001, w,1
469.84,q,1
508.24, w,1
511.361,q,1
515.001, w,1
520.041,q,1
525.8, o,1
525.961, p,1
534.76,q,1
536.36, w,1
538.44, o,1
538.921, p,1
546.44,q,1
550.921, p,1
553.8, o,1
554.28, p,1
557.48,q,1
559.24, p,1
563.401, o,1
564.041, p,1
567.08,q,1
570.761, p,1
578.28,q,1
580.2, p,1
587.88,q,1
597, o,1
597.64, p,1
605.801,q,1
624.841, o,1
626.281, p,1
628.84, o,1
629.32, p,1
631.561,q,1
641.88, p,1
648.28,q,1
651.16, p,1
658.04,q,1
660.761, p,1
663.001, o,1
663.481, p,1
664.6,q,1
672.28, p,1
679.8,q,1
680.6, p,1
682.281, o,1
682.92, w,1
686.652, w,1
686.652,END,0
