time,code,class
50.96, w,1
52.92,q,1
64.2, w,1
65.16,q,1
66.12, w,1
67.561,q,1
88.24, w,1
91.241,q,1
94.88, w,1
98.08,q,1
115.72, w,1
121.721,q,1
122.52, w,1
124.76,q,1
143.76, w,1
148.36,q,1
165.76, w,1
177.159,q,1
182.76, w,1
192.56,q,1
201.64, p,1
201.84, o,1
202.08, w,1
214.479, o,1
217.12, p,1
217.36, o,1
217.96, w,1
218.56,q,1
222.24, w,1
224.84,q,1
227.04, w,1
233.24,q,1
245.24, w,1
248.24,q,1
253.04, w,1
256.639,q,1
272.44, w,1
274.24,q,1
295.04, w,1
309.44,q,1
311.84, p,1
313.441, o,1
314.24, w,1
314.64,q,1
321.24, w,1
331.041,q,1
336.84, w,1
342.441,q,1
382.84, w,1
398.68,q,1
400.88, w,1
408.68,q,1
415.68, w,1
433.88,q,1
440.48, w,1
453.281,q,1
461.08, w,1
470.479,q,1
473.48, w,1
478.479,q,1
495.24, w,1
520.04,q,1
529.84, w,1
546.639,q,1
556.639, w,1
561.84,q,1
564.44, o,1
565.999, p,1
570.2, o,1
571.399, w,1
572.8,q,1
586.84, p,1
611.639,q,1
612.639, w,1
624.24,q,1
633.441, w,1
643.04,q,1
656.4, w,1
669.399,q,1
681.376,q,1
681.376,END,0
