time,code,class
16.361, o,1
18.042, w,1
20.28,q,1
28.4, w,1
41.001,q,1
57.8, w,1
70.121,q,1
74.32, w,1
82.721,q,1
86.36, w,1
90.56,q,1
93.64, w,1
102.04,q,1
105.4, w,1
117.72,q,1
127.52, w,1
132,q,1
134.52, w,1
145.722,q,1
153.281, w,1
157.481,q,1
172.881, w,1
192.201,q,1
198.361, w,1
206.761,q,1
209.28, o,1
210.681, p,1
216.689, o,1
219.8, w,1
225.881,q,1
227.841, w,1
232.88,q,1
237.36, w,1
242.121,q,1
243.24, w,1
258.36,q,1
265.641, w,1
289.16,q,1
296.16, w,1
299.8,q,1
300.921, w,1
312.68, o,1
315.48, p,1
319.12, o,1
325.561, p,1
327.24, o,1
330.32, w,1
339, o,1
343.761, p,1
349.64, o,1
352.72, p,1
354.401, o,1
359.44, w,1
362.8,q,1
369.76, w,1
373.12,q,1
543.4, p,1
543.88, o,1
544.6, w,1
549.32,q,1
550.44, w,1
560.52,q,1
562.2, o,1
563.88, p,1
565.08, o,1
573.8, w,1
581.08,q,1
582.04, o,1
583.16, w,1
584.36,q,1
587.48, p,1
589.28, o,1
592.68, p,1
601.36,q,1
602.2, w,1
609.76, o,1
611.12, p,1
613.08,q,1
616.44, p,1
618.96, o,1
621.76, p,1
628.76,q,1
630.721, w,1
637.62, w,1
637.62,END,0
