time,code,class
53.044, w,1
55.844,q,1
64.244, w,1
94.202,q,1
97.844, w,1
102.327,q,1
105.125, w,1
107.362,q,1
137.602, w,1
159.721, o,1
167.002, w,1
168.403,q,1
181.84, p,1
184.365, w,1
202.565,q,1
217.686, p,1
221.04,q,1
222.165, w,1
244.406,q,1
251.164, p,1
263.481, o,1
266.562, p,1
267.964, o,1
271.042, w,1
279.163,q,1
284.203, p,1
288.126, o,1
288.962, w,1
325.086,q,1
336.844, w,1
365.122, w,1
365.68,q,1
372.124, p,1
382.761, o,1
383.042, p,1
383.885, o,1
386.123, w,1
390.882,q,1
402.085, p,1
405.161, o,1
405.442, p,1
408.522,q,1
415.8, p,1
417.764,q,1
484.364, w,1
485.924,q,1
494.248, p,1
495.842,q,1
513.002, w,1
521.844,q,1
524.968, o,1
527.564, p,1
543.684,q,1
544.726, p,1
546.282,q,1
554.088, p,1
566.044,q,1
571.764, p,1
581.12,q,1
582.162, p,1
595.69,q,1
606.61, p,1
608.688,q,1
628.966, p,1
641.446,q,1
641.972, p,1
652.88,q,1
653.926, p,1
667.446,q,1
671.602, p,1
684.084,q,1
684.602, p,1
694.18,END,0
