time,code,class
35.359, p,1
36.401, o,1
37.439,q,1
40.039, w,1
42.121,q,1
44.201, w,1
45.239, p,1
50.439, o,1
51.481, w,1
52.521,q,1
68.121, w,1
77.479,q,1
80.599, w,1
92.561,q,1
100.359, p,1
103.479,q,1
106.081, w,1
110.241,q,1
115.439, w,1
119.601,q,1
121.159, w,1
122.721,q,1
129.479, p,1
132.079,q,1
132.601, w,1
135.721,q,1
145.599, w,1
147.683, o,1
151.841, w,1
152.361,q,1
161.721, w,1
163.799,q,1
177.839, w,1
187.721,q,1
205.401, w,1
205.919,q,1
216.841, p,1
231.919, o,1
234.001, w,1
235.561,q,1
239.721, w,1
246.521,q,1
248.081, w,1
252.761,q,1
253.799, p,1
286.559, p,1
287.081, w,1
287.601,q,1
306.839, p,1
314.641, o,1
315.159, p,1
319.321,q,1
328.161, w,1
329.203,q,1
334.921, w,1
339.081,q,1
345.841, w,1
348.439,q,1
348.959, p,1
353.119, o,1
356.761, w,1
365.601,q,1
366.121, w,1
368.721,q,1
375.481, w,1
378.601, o,1
379.119, p,1
390.047,q,1
416.561, w,1
418.119,q,1
420.201, p,1
430.081,q,1
438.921, w,1
441.001,q,1
442.041, w,1
448.281,q,1
451.921, w,1
455.041,q,1
461.283, p,1
471.681,q,1
478.961, p,1
488.321,q,1
495.601, p,1
508.079,q,1
537.719, p,1
555.399,q,1
567.361,q,1
570.001, p,1
593.919, o,1
596.519, p,1
597.559,q,1
598.601, w,1
614.719,q,1
615.241, p,1
631.359,q,1
648.521, p,1
654.239,q,1
670.879,END,0
