time,code,class
26.242, w,1
27.082, o,1
31.562, w,1
36.081,q,1
58.484, w,1
64.081, o,1
64.361, p,1
66.883, o,1
71.121, w,1
81.722,q,1
85.365, w,1
85.641,q,1
88.723, w,1
102.72,q,1
108.04, w,1
109.162, o,1
110.565, w,1
140.806,q,1
141.642, w,1
143.6,q,1
147.243, w,1
173.001,q,1
174.401, w,1
179.166,q,1
182.521, w,1
183.362,q,1
187.282, w,1
203.244,q,1
210.24, p,1
224.243,q,1
227.603, w,1
230.96,q,1
233.76, w,1
234.604,q,1
238.24, w,1
239.923,q,1
240.48, w,1
244.122,q,1
249.44, w,1
259.523,q,1
262.321, w,1
265.123,q,1
267.083, w,1
306.003,q,1
317.761, w,1
324.485,q,1
357.204, w,1
365.601,q,1
366.726, w,1
369.24,q,1
378.204, p,1
387.444, o,1
388.284, p,1
390.242,q,1
390.521, w,1
391.363,q,1
392.204, w,1
399.481,q,1
405.086, p,1
414.041, o,1
418.523, p,1
419.08,q,1
420.485, w,1
422.72,q,1
450.164, p,1
451.004, o,1
451.561, w,1
452.964,q,1
461.92, p,1
466.401,q,1
599.041, w,1
599.323,q,1
667.084,END,0
