time,code,class
41.72,w,1
51.6,q,1
60.442,w,1
62.522,q,1
143.642,w,1
144.68,q,1
173.8,w,1
174.842,q,1
215.922,w,1
219.56,q,1
269.48,w,1
279.88,q,1
280.4,w,1
287.682,q,1
290.8,w,1
294.962,q,1
296.522,w,1
301.722,q,1
378.16,w,1
436.92,q,1
451.48,p,1
455.12,q,1
455.642,w,1
457.2,q,1
515.442,p,1
517.004,o,1
518.042,w,1
519.082,q,1
530.002,w,1
571.602,q,1
589.6,w,1
590.72,q,1
595.761,p,1
596.32,o,1
596.6,w,1
597.16,q,1
632.96,w,1
637.12,q,1
660.002,w,1
661.042,q,1
669.88,p,1
678.72,q,1
684.442,w,1
688.082,q,1
696.584,END,0
