time,code,class
36.361,w,1
50.401,q,1
53.001,w,1
61.321,q,1
62.361,w,1
73.801,q,1
79.521,w,1
124.761,q,1
125.801,w,1
167.401,q,1
173.639,w,1
186.119,o,1
187.681,p,1
188.201,o,1
192.359,w,1
193.919,q,1
201.201,w,1
208.481,q,1
211.601,w,1
213.679,o,1
216.281,p,1
220.961,q,1
233.441,w,1
327.041,w,1
330.161,q,1
490.839,p,1
494.999,o,1
498.121,w,1
509.561,q,1
513.201,w,1
514.761,o,1
515.801,p,1
517.881,q,1
518.919,w,1
522.041,q,1
525.681,p,1
529.839,q,1
530.881,p,1
531.921,q,1
540.759,w,1
544.401,o,1
546.481,w,1
549.079,o,1
552.721,p,1
555.841,o,1
561.561,p,1
564.161,q,1
566.239,w,1
583.919,q,1
587.041,w,1
594.841,o,1
598.481,p,1
602.121,o,1
604.201,w,1
606.281,q,1
609.919,p,1
626.041,o,1
632.801,w,1
638.519,q,1
640.081,w,1
641.641,o,1
642.681,p,1
649.961,o,1
655.159,w,1
662.58,END,0
