time,code,class
62.044,w,1
65.69,o,1
66.202,w,1
68.806,q,1
84.924,w,1
85.968,q,1
107.288,w,1
108.842,q,1
115.092,w,1
116.122,q,1
118.726,w,1
124.968,q,1
127.566,w,1
129.128,q,1
140.568,w,1
144.204,q,1
145.244,w,1
147.322,o,1
147.846,w,1
148.89,q,1
156.682,w,1
157.204,q,1
165.004,w,1
168.126,o,1
168.64,w,1
170.726,q,1
198.282,w,1
210.774,q,1
216.482,w,1
218.044,q,1
224.282,w,1
228.968,o,1
230.524,w,1
233.124,q,1
248.728,w,1
256,q,1
277.322,p,1
278.882,w,1
285.642,q,1
287.732,p,1
289.29,o,1
292.404,w,1
298.646,q,1
313.722,w,1
315.286,q,1
318.922,w,1
323.602,q,1
325.164,p,1
326.73,o,1
327.762,w,1
329.32,q,1
334,w,1
335.562,q,1
338.162,w,1
340.244,o,1
341.286,w,1
343.882,q,1
344.924,p,1
359.486,q,1
370.406,w,1
378.202,o,1
379.766,w,1
385.49,o,1
386.006,p,1
390.166,o,1
392.244,w,1
397.964,q,1
418.768,w,1
421.882,q,1
448.402,w,1
453.602,q,1
484.286,w,1
485.322,q,1
502.482,p,1
504.05,o,1
506.642,p,1
508.724,q,1
513.926,w,1
516.002,q,1
517.044,p,1
518.602,q,1
527.452,p,1
537.322,o,1
541.486,w,1
544.086,q,1
566.448,w,1
569.042,q,1
604.926,p,1
608.048,w,1
611.166,o,1
613.768,w,1
618.442,q,1
620.004,p,1
621.04,o,1
622.084,w,1
623.64,o,1
627.802,p,1
635.084,q,1
650.686,p,1
652.766,q,1
677.208,q,1
681.882,w,1
685.524,o,1
691.9,END,0
