time,code,class
40.928,q,1
63.804,w,1
66.924,q,1
73.684,w,1
78.368,q,1
82,w,1
97.084,q,1
123.092,w,1
154.284,q,1
166.766,w,1
192.248,q,1
209.4,w,1
236.44,q,1
238.528,w,1
247.362,q,1
250.484,p,1
255.682,o,1
256.21,p,1
261.404,o,1
263.484,w,1
272.846,q,1
295.726,w,1
299.888,q,1
323.804,w,1
331.602,q,1
349.808,w,1
352.402,q,1
357.084,w,1
359.164,q,1
361.764,w,1
395.56,q,1
412.73,p,1
418.442,o,1
418.966,p,1
421.566,o,1
424.682,w,1
433.522,q,1
476.684,w,1
482.922,q,1
501.132,p,1
562.124,q,1
565.762,p,1
566.802,q,1
569.926,p,1
572.008,q,1
583.448,p,1
595.404,q,1
596.96,p,1
600.602,q,1
602.684,p,1
603.206,q,1
607.37,p,1
608.93,q,1
624.522,p,1
625.04,q,1
664.044,p,1
665.61,q,1
694.73,END,0
