PrePost,fish_name,tot_time_w,tot_time_b,tot_time_wthigmo,tot_time_bthigmo,tot_transits,trans_w,trans_b,trans_wthigmo,trans_bthigmo,latency_w,latency_b,latency_wthigmo,latency_bthigmo,prop_w,prop_b,prop_wthigmo,prop_bthigmo
postscoto,amber,3.754,178.171,66.41,411.744,30,3,11,4,12,129.642,0,316.923,5.599,0.005687198,0.269923752,0.10060917,0.623779881
postscoto,diana,6.444,154.672,89.88,390.961,55,5,19,8,23,0,65.238,0.562,62.722,0.010038056,0.240938256,0.140009378,0.609014311
postscoto,abigail,16.4405,146.455,77.8415,390.0205,53,9,14,12,17,169.8595,0,166.9085,6.098,0.02612606,0.23258897,0.124014177,0.617653135
postscoto,allison,18.766,199.066,162.203,261.709,59,7,13,19,22,108.329,0,129.189,3.703,0.029218429,0.310354935,0.251962303,0.407645782
postscoto,alyssa,24.5395,42.5585,270.59,305.252,62,9.5,8,23,22.5,0,11.521,4.434,23.17,0.038023049,0.065870338,0.415665716,0.470774999
postscoto,amanda,27.999,112.265,166.41,338.11,98,14,26,25,32,24.361,0,25.478,66.64,0.043275383,0.172451183,0.256306391,0.520330249
postscoto,amber,2.802,165.919,66.636,430.542,33,2,12,4,14,130.637,0,317.678,3.36,0.004237878,0.252366329,0.100548923,0.640705529
postscoto,amy,15.68,131.032,167.657,320.957,64,7,23,10,23,94.921,0,45.394,1.963,0.024654902,0.207258607,0.26146485,0.507371701
postscoto,andrea,3.082,211.769,8.68,441.798,29,1,13,2,13,18.72,0,10.04,7.28,0.004646665,0.315736353,0.013095146,0.664994313
postscoto,anna,3.878,253.8035,77.035,278.9945,99.5,6,26.5,23,43.5,83.2795,9.8,82.4395,0,0.006181467,0.423130828,0.122804142,0.443179857
postscoto,ariana,14.657,156.8255,89.9045,386.633,91,12.5,25.5,19.5,33.5,113.939,0,125.0195,14.321,0.022587027,0.244109095,0.137571593,0.596276318
postscoto,audrey,4.486,110.363,119.425,403.84,87,5,32,14,37,0,1.118,15.686,15.686,0.007011774,0.172131544,0.186665437,0.634651545
postscoto,ava,15.198,114.556,190.502,318.3485,92,8,28.5,18,37,0.9435,3.1805,3.3795,3.502,0.023936686,0.1803052,0.29538174,0.490519016
postscoto,bailey,7.161,224.7515,31.7055,365.18,77,6,33,5,34,158.2375,0,154.2915,2.24,0.011368565,0.357286283,0.050401472,0.580514337
postscoto,barbara,10.364,194.436,43.12,391.451,58,5,20,8,24,35.84,0,33.191,6.72,0.0162971,0.30287491,0.066989043,0.610295723
postscoto,barbie,11.621,342.011,39.8955,244.231,43.5,2,20,3,19,340.4915,0,331.148,12.954,0.018650261,0.541538253,0.06302551,0.386287374
postscoto,beatrice,49.2845,239.282,42.0205,291.013,77.5,14.5,27.5,11,25.5,93.771,0.5595,194.611,5.7305,0.079604961,0.386409438,0.067729181,0.469135765
postscoto,becca,8.5765,28.6945,256.0785,317.7715,76,5,12,26.5,32.5,0,1.913,32.502,18.7335,0.014189541,0.046882901,0.419833746,0.51796632
postscoto,bella,0,110.96,0,500.581,19,0,10,0,9,NA,0,NA,10.924,0,0.181443272,0,0.818556728
postscoto,bernadette,24.676,117.059,93.878,428.398,102,10,35,16,41,243.088,0,242.075,5.8,0.037189759,0.17660193,0.141485661,0.648139239
postscoto,bernice,61.32,211.47,163.79,211.89,114,30,31,26,29,0,4.052,1.962,45.749,0.094561044,0.326106065,0.252579148,0.326753743
postscoto,bess,27.735,240.287,123.762,240.906,97,13,34,18,33,10.355,0,3.639,0.694,0.043710757,0.378695754,0.19582564,0.379671306
postscoto,beth,3.796,18.195,212.41,423.387,68,2,7,27,33,0,19.965,0.278,6.443,0.005761292,0.027541558,0.323531876,0.641505784
postscoto,bethany,34.017,214.23,113.969,297.198,93,14,28,21,33,0.905,2.511,0,15.955,0.051882943,0.325696303,0.173268365,0.451833495
postscoto,beverly,9.236,45.922,21.676,565.75,38,6,13,8,13,297.638,0,296.438,2.561,0.01433487,0.071710913,0.033912306,0.878965332
postscoto,beyonce,27.184,234.277,69.005,329.297,73,11,26,11,26,92.561,0,96.61,6.24,0.041310873,0.358374049,0.104681185,0.500773674
postscoto,bianca,32.0325,256.482,135.779,210.924,92,17.5,28,19,27.5,129.7405,0,188.7705,13.9665,0.050518133,0.4044967,0.214103925,0.332699073
postscoto,blossom,10.1555,172.2475,167.5255,292.101,68,3.5,16.5,19,27,59.5385,0.562,132.42,5.5215,0.015839258,0.268988608,0.261480038,0.456701441
postscoto,carla,7.9955,124.3395,64.1955,459.1985,51.5,4,13,13,21.5,130.7795,0,130.201,38.841,0.012177799,0.190345841,0.097541871,0.700301268
postscoto,catalina,8.6435,298.7995,33.1805,309.5395,80,3,37.5,3,36,158.1995,0.56,318.4,13.8605,0.013376165,0.459621729,0.051056923,0.476143882
postscoto,charlotte,5.7585,75.674,40.7865,504.177,53,4.5,15,12,21,4.4425,0,4.62,14.14,0.009141514,0.119841325,0.064537326,0.798618202
postscoto,chloe,94.802,234.0065,166.859,147.51,110.5,37,31,24.5,18,52.3195,0,80.658,7.8785,0.147404281,0.364251544,0.259446772,0.229617921
postscoto,claire,26.3215,96.418,30.5755,485.571,48,9,13,11.5,14,106.4005,5.998,101.924,0.2795,0.041027327,0.151301716,0.04798005,0.762488327
postscoto,daisy,62.313,275.73,101.0125,194.7285,118.5,30,36.5,22.5,28.5,0.842,33.1795,5.3225,13.9835,0.098333261,0.436739992,0.159189516,0.306877159
postscoto,daniela,22.5435,177.904,32.3455,419.2365,63,6.5,27.5,4.5,24.5,24.421,0,21.1995,13.599,0.034449051,0.27163883,0.04942916,0.643882606
postscoto,dawn,44.91,152.594,123.452,320.202,128,41,39,25,23,52.56,0,48.761,7.922,0.070051037,0.235000693,0.192135347,0.500255438
postscoto,delfina,24.133,72.274,127.597,426.811,98,14,21,29,37,0,1.713,29.894,10.073,0.036831904,0.110401146,0.194080998,0.653072104
postscoto,diana,5.7435,158.1375,90.2835,389.495,51.5,4,18,9,21.5,410.8195,63.0615,0,61.199,0.008943541,0.244519244,0.140740877,0.605785592
postscoto,prescoto,9.201,104.02,155.179,350.618,60,5,16,14,25,194.001,2,204.403,0,0.014863865,0.168040348,0.250685764,0.566410024
postsoc,abigail,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA
postsoc,alyssa,27.453,43.121,270.434,304.614,61,10,7,22,22,0,12.04,2.52,24.077,0.042521785,0.066789855,0.418873582,0.471814777
postsoc,andrea,1.398,181.131,9.245,471.088,28,2,11,3,12,18.244,0,11.8,1.964,0.002109036,0.273255972,0.013947096,0.710687896
prescoto,abigail,6.7845,106.3865,151.713,357.907,63.5,7,18.5,13,25.5,194.015,0,208.7575,20.898,0.010926714,0.171387927,0.244113641,0.575794523
prescoto,adele,0,265.66,0,373.278,19,0,10,0,9,NA,0,NA,8.32,0,0.415783691,0,0.584216309
prescoto,alexandra,13.5055,107.3225,110.1725,413.549,59,6.5,11,18.5,22.5,72.3405,0,26.181,11.179,0.020935554,0.166119911,0.171416102,0.641085581
prescoto,alice,8.744,175.654,259.675,195.832,34,2,13,4,15,543.242,238.682,0,208.6815,0.013611649,0.274433444,0.404149939,0.305801003
prescoto,allison,28.608,162.697,122.06,315.641,63,12.5,20.5,13,17.5,181.661,0,186.143,8.738,0.04542354,0.258364088,0.193212124,0.501201319
